Country,Subtopic link,Status link,Status justification,iso_a3_eh
Chinese Taipei (Taiwan; Republic of China; ROC),Enforcement of childhood vaccination requirement,Social exclusion,"In Taiwan, children without the mandatory vaccinations cannot be admitted to elementary schools.",TWN
Chinese Taipei (Taiwan; Republic of China; ROC),Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,TWN
Chinese Taipei (Taiwan; Republic of China; ROC),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,TWN
Chinese Taipei (Taiwan; Republic of China; ROC),Enforcement of emergency vaccination,Legal sanctions,"In Taiwan, individuals that fail to receive mandatory emergency vaccinations will be fined between NT$60,000 - NT$300,000. ",TWN
Colombia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,COL
Colombia,Enforcement of childhood vaccination requirement,Social exclusion,"In Colombia, children without the mandatory vaccinations cannot be admitted to public schools. However, these children may not be denied education and instead their information will be sent to the local health authority to ameliorate the issue. ",COL
Colombia,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,COL
Colombia,Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, some provinces may have legislation or a constitutional right to mandate vaccination. ",COL
Colombia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",COL
Comoros,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,COM
Comoros,Enforcement of childhood vaccination requirement,Legal sanctions,"Parents of minors in Comoros that do not fulfill the requirements for mandatory vaccination may be fined between FC 25,000 and 100,000 and face a jail sentence of 15-30 days. ",COM
Comoros,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,COM
Comoros,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,COM
Comoros,Enforcement of emergency vaccination,Legal sanctions,"Individuals in Comoros that do not fulfill the requirements for mandatory emergency vaccination may be fined between FC 25,000 and 100,000 and face a jail sentence of 15-30 days. ",COM
Cook Islands,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CRI
Cook Islands,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CRI
Cook Islands,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CRI
Cook Islands,Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, some provinces may have used legislative powers to mandate vaccination during the COVID-19 pandemic. ",CRI
Cook Islands,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CRI
Costa Rica,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CIV
Costa Rica,Enforcement of childhood vaccination requirement,Social exclusion,"In Costa Rica, pupils must present valid, up-to-date vaccination information for school registration. ",CIV
Costa Rica,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,CIV
Costa Rica,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,CIV
Costa Rica,Enforcement of emergency vaccination,Social exclusion,"Individuals that fail to receive mandatory emergency vaccinations may be excluded from various aspects of society, including employment and education. ",CIV
